"Countries","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"China",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0235294117647059,0,NA,NA,NA,NA,NA,NA,0,0.0122471446263933,0.0104832977967306,0.0077639751552795,0,0.00171526586620926,0.00805277135269425,0.00914642887863062,0.00851310825191061,0.0126582278481013,0.0246389124893798,0,0,0.00162513542795233,0,NA,0.00448430493273543,0.00409836065573771,0.00408163265306122,0.0124223602484472,0,0,0,0,0,0,0.0188679245283019,0,0,0
"Thailand",0.125,NA,0,NA,NA,NA,NA,NA,NA,0.139790216645427,0.140338827838828,NA,NA,NA,0.0699551569506726,0.03125,0.0615384615384615,0.0523690773067332,0.0405405405405405,0.051980198019802,0.0416233090530697,NA,NA,NA,0.0390995260663507,0.0433898305084746,0.0659176029962547,0,0.0130548302872063,0.029404733444896,0.0246085011185682,0.019625952435927,0.0512820512820513,0.0250783699059561,0.0273881095524382,0.0294573643410853,0.0155728587319244,0.00469483568075117,0.00566661419801669,0.0119953188999415,NA,NA,NA,NA,NA,0.00143389733295096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00490196078431373,0.00688073394495413,0.00634920634920635,0.00759878419452888,0.014336917562724,0,0,0,0.008,0.0192307692307692
"Bangladesh",NA,0.434331913180583,0.592131712453336,0.609057388673537,0.611776627700771,0.604661586732407,0.588991707727437,0.646018819359467,0.637447231189471,0.647367410914209,0.653621046408513,0.4015879113843,0.639504318437852,0.516640253565769,0.313962264150943,0.725772577257726,0.608192341941229,0.391249207355739,0.555722891566265,0.194550063371356,0.209958170287411,0.254616525138159,0.164816396242528,0.189801699716714,0.187404773996953,0.03081581759886,0.023936170212766,0.06478578892372,0.0340286455830049,0.0145265423242468,0.00974930362116992,NA,NA,NA,NA,NA,NA,NA,0.0439770554493308,0.0753064798598949,0.0212765957446809,0.0487804878048781,0,0.0605427974947808,0,0.0729537366548043,0.0265563778841968,0,0.0484941296579888,0.0243673851921275,0.0183139534883721,0.0156709108716944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodia",NA,0.1,0.701754385964912,0.416666666666667,0.727272727272727,1,NA,1,0.166666666666667,0,NA,NA,NA,NA,0.25,0.144385026737968,NA,0.0806451612903226,0,0.125,NA,NA,NA,NA,0.0880503144654088,0.00689655172413793,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116033755274262,0,0.0425531914893617,0,0.125974025974026,0.0976403580146461,0.0461811722912966,0.0683954619124797,0.0293556085918854,0.027027027027027,0,0.0551378446115288,0.075978959672706,NA,NA,NA,NA,0.0175438596491228,NA,NA,NA,NA,0,0.00170068027210884,NA,NA,NA,NA,NA,NA
"India",NA,0.6336,0.478677682141335,0.573950912870838,0.582609919099543,0.874559739907884,0.325585348234394,0.431996786261267,0.904550499445061,0.745231791051474,0.518179369781848,0,0.56565274891366,0.531322187854822,0.364794040901893,0.321348399388806,0.296740633127914,0.214449892736745,0,0,0,0.226986128625473,0.14677948057042,0.13922192317103,0.129917569873351,0.0740704785943112,0.105673726699624,0.0442927873678576,0.0345033428844317,0.0232404345772319,0.0222747880938301,0.0367929050814957,0.0320444349497971,0.0457474226804124,0.0361741980800749,0.0106846062524733,0.0266873278236915,0.0166349809885932,0.0201106083459025,0.0221419414986598,0.0164893617021277,0.0231649455763327,0.0213070213070213,0.0079583273042975,0.00422045680238332,0.0064347476372411,0.00150829562594268,0.00773430391264786,0.00578034682080925,0.00153824639910502,0.00156290700703308,0.00493461633358006,0.00147022788532222,0.00289435600578871,0.000691323885240235,0.00149094781682641,0.00190174326465927,0.00154718927282104,0.00113851992409867,0.000373134328358209,NA,0.0017458777885548,NA,NA,0.00898801597869507,0.00520962540312578,0.00449943757030371,0.00356718192627824
"Myanmar",NA,0.661206077872745,0.693765733747964,0.706051873198847,0.409090909090909,0.542857142857143,0.285714285714286,0.461538461538462,0.3,0.428571428571429,0.666666666666667,0.772200772200772,0,0,0.259357403113614,0.185466377440347,0.0386473429951691,0.064638783269962,0,0,0.165853658536585,0.0834248079034029,0.111111111111111,0.0388888888888889,0.0621761658031088,0.0859077443927211,0.0584636301835486,0.113890717577354,NA,0.104759222754154,0.085812356979405,0.0491159135559921,0.107142857142857,NA,0.0293225480283114,NA,NA,NA,NA,NA,0.0184254606365159,NA,0.0422077922077922,0.0605326876513317,0.0295790671217292,0.00950118764845606,0.00462962962962963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0222222222222222,NA,NA,0,0,0,0,0.116504854368932,0.0140664961636829
"Viet Nam",NA,0.444444444444444,0.807692307692308,0.857142857142857,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0431982562171802,0.0166858457997698,0.0199928169519933,0.00926409185803758,0.0072926162260711,0.0101049358725223,0.0121951219512195,0.0037037037037037,0.00684931506849315,0.0120401337792642,0.0143884892086331,0,0,0,0,0.0767123287671233,0.0501022494887526,0.0509554140127389,0,0,0,0.0179282868525896,0.0152380952380952,0.0231481481481481,0.0204081632653061,0,0.0111731843575419,0.0192307692307692,0.0258215962441315,0.00267777447188337,0.0117728531855956,0.0073915900131406,0.00353356890459364,0,0.0769230769230769,0,NA,NA,NA,NA,NA,NA,NA,0,0,0.00212314225053079,0,0,NA,NA,NA,NA,NA
"Lao People's Democratic Republic",NA,NA,NA,NA,0.580645161290323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0461872849121536,0.0627329192546584,0.127472527472527,0.0458333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0177514792899408,0,NA,0.0168776371308017,NA,NA,NA,NA,NA,NA
"Singapore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0740740740740741,0.125,NA,NA,NA,0,0.363636363636364,NA,NA,0.0263157894736842,0,0,0,NA,0,0,0,0,0,0,0,0.2,0.037037037037037,0,0,0,0,0,0.0588235294117647,0,0,0.024390243902439,0,0.0526315789473684,0,0.0645161290322581,0,0,0,0,0,0.0909090909090909,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"Malaysia",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0687679083094556,0.279296875,0.0625,0,NA,0.2,0,0.0283018867924528,0.0188679245283019,0.0127314814814815,0.046070460704607,0,0.0727272727272727,0.016260162601626,0.027027027027027,0.0391437308868502,0.0199203187250996,0.0721649484536082,0.0298507462686567,0.0329457364341085,0.0173120728929385,0.0149253731343284,0.0384615384615385,0.0363636363636364,0.0154109589041096,0.0241691842900302,0.0356234096692112,0.018348623853211,0.0118577075098814,0.0168776371308017,0.0130653266331658,0,0.0122227252150294,0,0.0102827763496144,0.0145705521472393,0,0.00806451612903226,0.0197486535008977,NA,NA,0,NA,0.00843881856540084,NA,NA,0.0053475935828877,0.0135440180586907,0.0170648464163823,0.00354609929078014,0.00584795321637427,0.00746268656716418,0.00819672131147541,NA
"Brunei Darussalam",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0303030303030303,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0450236966824645,0.0121457489878543,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nepal",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141906873614191,NA,NA,NA,NA,NA,NA,0.133425034387895,0,NA,0.5,0.0265486725663717,0.00255754475703325,0,0,0,0,0,0.00540540540540541,0.00934579439252336,0.00601684717208183,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.0141843971631206,0.0207217012726055,0.0284847298355521,0.018796992481203,0,0,0,0.00364963503649635,0,0.00974212034383954,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0.00502793296089385,0,0,NA,0.00214362272240086,0,0
"Pakistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234972677595628,NA,0.165125298329356,NA,NA,NA,NA,0.0476190476190476,NA,NA,0.0139877924720244,0.0237099023709902,0,0.0362869198312236,NA,NA,NA,NA,0,0.0833333333333333,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0170360568971221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.415559772296015,0.0555555555555556,0.0215154349859682,0.00492610837438424,NA,NA
"Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22435174746336,NA,NA,NA,NA,0.252293577981651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0251309183177671,0.00304634051891055,0.031352057478772,NA,0.0299760191846523,0,0.00616908153740006,0.0457274826789838,0.0253389642142698,0,0.170731707317073,NA,0,NA,NA,0.00501824817518248,0.0166163141993958,0.00422119037568594,0.011786766675596,0,0.00353803386403841,8.7948813790374e-05,0.000137779002480022,0.00738552437223043
"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536585365853659,0.272101033295063,0.186915887850467,0.155140186915888,0.211656441717791,NA,0.176470588235294,0.198571428571429,0.162962962962963,0.41786283891547,0.209604802401201,0.153130970070049,0.156726674627673,0.0587602321202106,0.0945170468245166,0.0767768202203071,0.0645841411399767,0.0455820476858345,0.0474585790508284,0.0408673008449806,0.0270709258256632,0.0252261087501362,0.0514868636319892,0.0250144592249855,0.00744855447544502,0.0179628064243449,0.0328157784305497,0.0273141122913505,0,0,0,0.00886810706223799,0,0.00701459034792368,0,NA,0,0,NA,NA,NA,0.0106951871657754,NA,NA,NA,0.0142002989536622,NA,NA,0.0268123138033764,NA,NA,NA,NA,NA,NA,NA,NA
"Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141590244885619,0.129235497502881,0.108821311887409,0.092201166180758,0.0977952412137088,0.0518912754229234,0.0319214241866176,0.0319339791890922,0.0687865022712524,0.034703196347032,0.0304044630404463,0.013926084627745,0.157394366197183,0.0190751445086705,0.0220588235294118,0.127186009538951,0.132061628760088,0.0866477272727273,0.321766561514196,0.0729665071770335,0.0590277777777778,0.0333333333333333,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0,0.0141242937853107,0.00808383233532934,0.00472255017709563,0.00998573466476462,0,0.0233196159122085,0,0.0218181818181818,0,NA,NA,0.00562851782363977,0.0143884892086331,0.0151515151515152,NA,NA,NA,0.0606060606060606,0.025,0.00751072961373391,0,0.00175940180338685,NA,0
"Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.358855375096674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0229943791517629,0.0105590752473047,0.00130293159609121,NA,NA,NA,NA,NA
"Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0.0192307692307692,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
"Republic of Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091566265060241,0.0909090909090909,NA,NA,NA,NA,0.0890767230169051,0.0484210526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0275862068965517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0353982300884956,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0
"Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.0540540540540541,0,NA,NA,NA,NA,0.0022075055187638,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Iran (Islamic Republic of)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0.0301724137931034,0.0200125078173859,0.0178985747431223,0,0,0.00941619585687382,0.00745033112582781,0.05,0.0135593220338983,0.0308641975308642,0.0162772883952509,0.0168539325842697,0.0169133192389006,0.0412371134020619,0.00371195248700817,0,0.0271015158474966,NA,0.0081374321880651,0.0037037037037037,0.0153396639883126,0.00869565217391304,0,0,0,0.0106382978723404,0.00970873786407767,NA,0,0.0555555555555556,NA,NA,0.0101095197978096,0,0.02734375,NA,0.0116279069767442,NA
"Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0881057268722467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0075187969924812,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00684150513112885,0,0,0,0.00365853658536585,0,NA,0.0188679245283019,0.0151133501259446,0.0075187969924812,0,0,0,0,NA,NA,0.00510964445390675,0.0118918918918919,0,0,NA,0.000852333262305561,0,NA,0.00040281973816717,NA
"Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0
"Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211428571428571,0.128457571495546,0.116,0.666666666666667,0.0547945205479452,0.0222222222222222,0.0958904109589041,0,0,NA,0,0,0,0,0,NA,0.0534979423868313,NA,NA,NA,NA,0.0346534653465347,0.0411622276029056,0.2,0.106951871657754,0.0591133004926108,0.032794830371567,0.0201005025125628,0.00485436893203883,0.0292397660818713,0.0235042735042735,0.0180065939639868,0.0481481481481481,0.0253456221198157,0.014018691588785,0.0146862483311081,0.010989010989011,NA,0.0050761421319797,0.0135135135135135,0.0081383519837233,0.00529801324503311,0.0048,0.0113636363636364,0.0144230769230769,NA,0.0170827858081472
"Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.281090289608177,0,0.222719141323792,0.104430379746835,1,NA,NA,0,NA,NA,NA,NA,NA,0.0534002738475582,0.135770234986945,NA,NA,NA,NA,NA,0.113594040968343,NA,NA,NA,0.0778773259820813,0.136470588235294,NA,0.0501930501930502,0.0752688172043011,0.0226904376012966,0.0146750524109015,NA,0,NA,0.0152380952380952,NA,NA,NA,NA,NA,0.1,0.048951048951049,NA,NA,NA,NA
"Cote d'Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0449308755760369,0.0134730538922156,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.19205298013245,0.189189189189189,0.0580110497237569,0.0496389891696751,0.0368515922291208,0.0163568773234201,NA,NA,NA,NA,0.0515899864682003,0.03414517669532,0.0483558994197292,0.0857142857142857,0.153846153846154,0.036231884057971,0.125,0.142857142857143,0.4,0,0.0190325138778747,0.044811320754717,0.0357142857142857,0.051063829787234,0.0301507537688442,NA
"Czechia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
